1105.png,,,
1106.png,,,
1107.png,,,
1108.png,,,
1109.png,,,
1110.png,,,
1111.png,,,
1112.png,,,
1113.png,,,
1114.png,,,
1115.png,,,
1116.png,,,
1117.png,,,
1118.png,,,
1119.png,,,
1120.png,,,
1121.png,,,
1122.png,,,
1123.png,,,
1124.png,,,
1125.png,,,
1126.png,,,
1127.png,,,
1128.png,,,
1129.png,,,
1130.png,,,
1131.png,,,
1132.png,,,
1133.png,,,
1134.png,,,
1135.png,,,
1136.png,,,
1137.png,,,
1138.png,,,
1139.png,,,
1140.png,,,
1141.png,,,
1142.png,,,
1143.png,,,
1144.png,,,
1145.png,,,
1146.png,,,
1147.png,,,
1148.png,,,
1149.png,,,
1150.png,,,
1151.png,,,
1152.png,,,
1153.png,,,
1154.png,,,
1155.png,,,
1156.png,,,
1157.png,,,
1158.png,,,
1159.png,,,
1160.png,,,
1161.png,,,
1162.png,,,
1163.png,,,
1164.png,,,
1165.png,,,
330.png,,NaN,
331.png,,NaN,
332.png,,NaN,
333.png,,NaN,
334.png,,NaN,
335.png,,NaN,
336.png,N,1,
337.png,N,1,
338.png,Y,0,
339.png,Y,0,
340.png,N,1,
341.png,N,0,
342.png,N,1,
343.png,Y,0,
344.png,N,1,
345.png,check,1,
346.png,check,0,
347.png,Y,0,
348.png,Y,0,
349.png,N,1,
350.png,N,1,
351.png,Y,0,
352.png,N,1,
353.png,Y,0,
354.png,Y,0,
355.png,N,1,
356.png,Y,0,
357.png,N,0,
358.png,Y,1,
359.png,N,0,
360.png,N,1,
361.png,Y,1,
362.png,N,1,
363.png,Y,0,
364.png,Y,0,
365.png,Y,1,
366.png,N,0,
367.png,Y,0,
368.png,Y,0,
369.png,N,1,
370.png,Y,0,
371.png,Y,1,
372.png,N,0,
373.png,N,1,
374.png,N,0,
375.png,Y,0,
376.png,N,1,
377.png,Y,0,
378.png,N,1,
379.png,Y,0,
380.png,N,1,
381.png,N,1,
382.png,Y,1,
383.png,Y,1,
384.png,N,1,
385.png,N,1,
386.png,N,1,
387.png,Y,0,
388.png,N,1,
389.png,N,1,
390.png,N,1,
391.png,Y,0,
392.png,Y,0,
393.png,Y,0,
394.png,N,1,
395.png,N,1,
396.png,N,1,
397.png,N,1,
398.png,N,1,
399.png,N,1,
400.png,Y,0,
401.png,N,1,
402.png,Y,0,
403.png,Y,1,
404.png,Y,0,
405.png,N,1,
406.png,N,1,
407.png,Y,0,
408.png,N,1,
409.png,N,1,
410.png,N,1,
411.png,Y,0,
412.png,N,0,
413.png,N,1,
414.png,Y,0,
415.png,N,1,
416.png,Y,0,
417.png,N,1,
418.png,Y,0,
419.png,Y,0,
420.png,N,1,
421.png,N,1,
422.png,N,1,
423.png,Y,0,
424.png,Y,0,
425.png,Y,0,
426.png,N,1,
427.png,Y,0,
428.png,N,1,
429.png,Y,0,
430.png,N,1,
431.png,Y,0,
432.png,N,1,
433.png,Y,1,
434.png,N,0,
435.png,Y,0,
436.png,Y,1,
437.png,Y,0,
438.png,Y,0,
439.png,N,1,
440.png,Y,0,
441.png,N,1,
442.png,Y,0,
443.png,Y,1,
444.png,N,0,
445.png,N,1,
446.png,N,1,
447.png,N,1,
448.png,Y,0,
449.png,N,1,
450.png,N,1,
451.png,N,1,
452.png,Y,0,
453.png,N,1,
454.png,N,1,
455.png,Y,0,
456.png,Y,0,
457.png,N,1,
458.png,N,1,
459.png,Y,0,
460.png,N,1,
461.png,Y,0,
462.png,Y,1,
463.png,Y,0,
464.png,Y,0,
465.png,N,1,
466.png,Y,1,
467.png,N,0,
468.png,Y,0,
469.png,Y,0,
470.png,N,1,
471.png,N,1,
472.png,N,1,
473.png,N,1,
474.png,Y,1,
475.png,Y,0,
476.png,N,0,
477.png,N,1,
478.png,Y,1,
479.png,N,1,
480.png,Y,0,
481.png,N,1,
482.png,N,1,
483.png,N,1,
484.png,N,1,
485.png,N,1,
486.png,N,1,
487.png,Y,0,
488.png,N,1,
489.png,N,0,
490.png,N,1,
491.png,N,1,
492.png,N,1,
493.png,N,1,
494.png,Y,0,
495.png,N,1,
496.png,Y,0,
497.png,Y,1,
498.png,N,0,
499.png,N,1,
500.png,N,1,
501.png,Y,0,
502.png,N,1,
503.png,N,1,
504.png,Y,1,
505.png,Y,0,
506.png,Y,1,
507.png,Y,0,
508.png,N,1,
509.png,N,1,
510.png,Y,0,
511.png,N,1,
512.png,Y,0,
513.png,N,1,
514.png,Y,0,
515.png,Y,1,
516.png,N,0,
517.png,N,1,
518.png,Y,0,
