testLocation,ppt,MeanLLM,MeanSLM,stdLLM,stdSLM,nSettings,LogAxisRatio,AxisRatioNormed,EllipseAngleUnnormed,timestart,CL,testSeason,age,birthLocation,birthNumber,birthSeason
0,023t,0.686803910288278,1.12533113599648,0.00786907184411068,0.162955378291037,36,0.124913432480429,1.33325564905299,90.7761752810144,25-Sep-2021 12:06:19,0.745374537453745,2,29.8333333333333,0,11,3
1,024o,0.69803387738841,0.960613356585567,0.00625398029939921,0.116882277110711,50,0.47905004115305,3.01335321483353,92.4584517438793,16-Sep-2021 10:11:52,0.791179117911791,2,19.5,0,3,4
0,024t,0.706021169311731,0.994792374954716,0.00991007944440997,0.202326389694485,40,0.205941325104472,1.60672416358376,91.2414586517712,27-Sep-2021 10:13:06,0.808380838083808,2,23.25,0,7,1
1,025o,0.711774124876858,0.766372917935663,0.00785654008473994,0.147127127835201,24,0.444519775668472,2.78304209723299,92.3612568920874,16-Sep-2021 17:07:03,0.846384638463846,2,24.3333333333333,0,5,1
0,025t,0.683956535192269,1.15135619483088,0.0106475741425919,0.307286879443063,40,0.222936280988299,1.67084545247716,90.9389229457683,28-Sep-2021 10:19:21,0.735373537353735,2,19,0,9,2
1,026o,0.696663947313149,0.957581869253043,0.00902571844336577,0.130681047412424,39,0.39635589290327,2.49089770729065,92.8628343103685,17-Sep-2021 14:06:24,0.787878787878788,2,25.6666666666667,1,12,3
0,026t,0.686878721231361,1.10664059822785,0.00806902869401017,0.191298166021381,48,0.358089196351734,2.28081046174659,91.63855119467,28-Sep-2021 17:51:21,0.747474747474748,2,24.5833333333333,0,2,4
1,027o,0.702838429890008,1.03814127885372,0.00728340089559435,0.151771363011539,57,0.482119478257391,3.03472594934272,92.2116540801971,19-Sep-2021 08:41:05,0.795779577957796,2,27,0,9,2
0,027t,0.684343853496354,1.33893865951088,0.00413606612451269,0.118632358592625,26,0.190888044534495,1.55198687636659,90.8263000780459,29-Sep-2021 10:09:14,0.717471747174718,2,25.25,0,6,1
1,028o,0.694995458559547,0.986064121610596,0.00569273027621244,0.112060646966027,51,0.426507241940231,2.66997528908659,92.1958824288522,20-Sep-2021 12:11:19,0.780678067806781,2,21.8333333333333,0,11,3
0,028t,0.689806927369656,1.35604399552344,0.007527478778341,0.183510688310003,22,0.232356585413536,1.70748377433534,91.1510743675718,30-Sep-2021 14:10:07,0.72987298729873,2,30.6666666666667,1,1,3
1,029o,0.707467084762237,0.89281832842998,0.0061274231060891,0.119254100074792,53,0.498273365895524,3.14973028243269,92.4054828315155,21-Sep-2021 09:02:07,0.822482248224823,2,23.0833333333333,0,8,2
0,029t,0.686784507998024,1.26567159352339,0.00818945849369563,0.212648752326084,67,0.352773626583288,2.25306450954503,91.4811508441083,01-Oct-2021 14:10:28,0.731173117311731,2,20.1666666666667,1,7,1
1,030o,0.694778249315583,1.13487930319172,0.00855674995989522,0.144845007073099,63,0.382907368194481,2.41494568942855,92.3966767131193,21-Sep-2021 12:04:12,0.765076507650765,2,23.5833333333333,0,2,4
0,030t,0.69378047963147,1.21918541466651,0.00819720833486988,0.196120558489173,47,0.279659790629145,1.90396863879519,91.3605754348576,04-Oct-2021 10:06:24,0.753975397539754,2,25.0833333333333,1,9,2
1,031o,0.695981793954301,1.06449782205217,0.00789657543686854,0.163703557029781,68,0.39110091451894,2.46093937208911,91.9818706635562,21-Sep-2021 18:05:52,0.775377537753775,2,23.4166666666667,0,4,4
0,031t,0.690448148524879,1.03005455953639,0.00974020890112475,0.177442880108462,16,0.488236718811281,3.07777394511616,92.5454290506298,05-Oct-2021 10:09:05,0.764476447644765,2,28.9166666666667,0,11,3
1,032o,0.688790507816256,1.08440320771452,0.00697501199783223,0.167972586221469,47,0.163399310896638,1.45679791392921,90.8563942596084,22-Sep-2021 14:15:15,0.754675467546755,2,21.5,0,3,4
0,032t,0.690114429963775,1.06236754567732,0.0119949932579861,0.293918457870283,88,0.0141045948242328,1.03301016440587,90.0760400393634,05-Oct-2021 14:13:21,0.76037603760376,2,25.0833333333333,1,9,2
1,033o,0.69353930979345,1.08727491118026,0.00689421446130991,0.142832331691879,42,0.365405668144971,2.3195603058274,91.9002943885978,23-Sep-2021 14:10:58,0.766676667666767,2,20.4166666666667,0,4,4
0,033t,0.687138085751181,1.17373054928408,0.00877403861043768,0.228798299242411,92,0.284565499378624,1.92559743772691,91.2648334226598,05-Oct-2021 16:52:44,0.741374137413741,2,19.5833333333333,1,2,4
1,034o,0.70091123623202,0.875125975430013,0.00648364102465113,0.0862526782063426,27,0.475577991039484,2.98935843075085,93.4429047827328,24-Sep-2021 13:59:53,0.807180718071807,2,23.6666666666667,0,1,3
0,034t,0.683708170073727,1.12345566265451,0.00785970396741655,0.198701843852929,64,0.288988220048233,1.94530731572741,91.3200545602896,06-Oct-2021 10:06:39,0.737573757375738,2,22.1666666666667,1,8,2
1,035o,0.689416575274195,1.01210764098577,0.00785516734703418,0.135555273260108,13,0.409738014466032,2.56884567456733,92.4485921611421,25-Sep-2021 07:04:44,0.763576357635764,2,19.0833333333333,0,7,1
0,035t,0.689219979026047,1.34559418011908,0.00980527735733633,0.238701973129703,30,0.371575281931928,2.35274729044469,91.6343025140511,07-Oct-2021 09:09:10,0.729472947294729,2,19.9166666666667,1,11,3
1,036o,0.691292747715955,1.16450219594593,0.00951090440822259,0.183458437031338,38,0.54953528794039,3.54433928103055,92.5325223092555,26-Sep-2021 11:03:39,0.753075307530753,2,21.9166666666667,0,10,2
0,036t,0.693110094672829,0.994723184056631,0.016010580350952,0.531068445611342,23,-0.041622312618086,0.908610366355121,89.8348097685765,07-Oct-2021 12:33:14,0.774977497749775,2,25.8333333333333,0,1,3
1,037o,0.692712120529063,1.2584918280594,0.00884701199045044,0.280580412213692,104,0.391345416343752,2.46232523720986,91.2954407872068,26-Sep-2021 14:17:57,0.747274727472747,2,18.8333333333333,0,11,3
0,037t,0.688444513800194,1.18100068908802,0.00987198238064446,0.30449359152058,54,0.18867468370378,1.54409737159972,90.7604194160981,08-Oct-2021 10:11:42,0.744074407440744,2,18.1666666666667,1,8,2
1,038o,0.698454827327342,1.14708997391147,0.00764563205983296,0.241345335689486,39,0.557198911330306,3.60743829566801,91.5560705684325,26-Sep-2021 16:11:13,0.773377337733773,2,19.1666666666667,0,7,1
0,038t,0.686660595061791,1.2620799272219,0.00447225779380806,0.15244886787651,83,0.299663788627525,1.99371826982659,91.0055635388641,08-Oct-2021 14:13:20,0.731273127312731,2,25.6666666666667,0,1,3
1,039o,0.690890543957797,1.11725617201587,0.00547034400594171,0.118927850105449,57,0.31151019306683,2.0488501367331,91.6230785792892,27-Sep-2021 09:10:00,0.756775677567757,2,19.9166666666667,0,10,2
0,039t,0.692374180381876,0.902224910606126,0.00580454974352434,0.141257445301002,28,0.376792215533976,2.38117994168347,91.6493965074085,11-Oct-2021 10:22:03,0.782378237823782,2,22.9166666666667,1,10,2
1,040o,0.700483718998686,0.957955583500567,0.00691567178122701,0.126559890031766,45,0.440273139584525,2.75596145733832,92.4038785236209,27-Sep-2021 12:06:19,0.797779777977798,2,25.3333333333333,0,5,1
0,040t,0.688824698198519,1.3311732760298,0.00891992466458394,0.22288883979882,59,0.132995210858912,1.35829846799741,90.681985061078,11-Oct-2021 14:09:31,0.72987298729873,2,20.8333333333333,0,1,3
1,041o,0.697267529978463,1.03487596263158,0.0042985071298039,0.0813186819176594,57,0.443336935980476,2.77547254714964,92.3340311939519,28-Sep-2021 11:57:28,0.781678167816782,2,23.5,1,3,4
0,041t,0.684052811093545,1.19593316562321,0.0101624091627053,0.277440792066646,15,0.543032048864987,3.49166081322216,91.7806049493031,12-Oct-2021 14:09:02,0.731173117311731,2,21.5833333333333,0,2,4
1,042o,0.69657452718656,1.02503238172254,0.00457945668254468,0.0990938028105246,33,0.541298912878781,3.47775443305953,92.2436228755379,29-Sep-2021 11:15:30,0.780878087808781,2,23.6666666666667,0,1,3
0,042t,0.680512831073063,1.07540698647316,0.0148719455674695,0.350327414380928,5,0.0210545330226794,1.04967422474229,90.118037077995,13-Oct-2021 10:43:23,0.734173417341734,2,27.0833333333333,0,10,2
1,043o,0.694340328264035,0.9965548941149,0.00539146807694159,0.19220996985053,49,0.210872573113823,1.6250718714255,90.7247200569366,04-Oct-2021 08:13:52,0.777977797779778,2,21.5833333333333,0,2,4
